accession	survival	ion303.1.83	ion317.3.02	ion345.3.4	ion359.5.44	ion385.1.83	ion399.2.61	ion441.3.85	ion443.3.07	ion453.5.57	ion455.5.65	ion469.7.02	ion471.5.43	ion497.9.35	ion511.9.78	ion525.12.24	ion539.12.67	ion553.13.24	ion567.31.11.08	ion581.11.92	ion591.5.73	ion595.11.52	ion617.2.68	ion631.1.92	ion645.2.94	ion647.10.57	ion659.5.23	ion661.11.45	ion673.7.36	ion681.6.26	ion685.10.86	ion687.8.6	ion701.7.62	ion715.8.91	ion717.7.62	ion729.9.63	ion731.10.85	ion735.13.19	ion743.10.58	ion743.38.10.68	ion757.10.25	ion758.11.96	ion771.11.07	ion785.11.93
C32	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268167.7547	0	0	0	0	0	0	0	0	0	0
LA0407	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17686.06532	0	79648.30148	0	0	0	0	0	0	0	0	0	0	0	0	0	458350.7671	1798855.075	2220117.116	0	0	0	0	873.2372485	0	0	0	0	0
LA0716	R1	0	0	0	0	0	0	2036094.596	3893.460324	0	563329.807	659001.5417	0	364234.9634	667299.2308	145157.3668	5785702.294	287203.9676	0	0	0	0	0	0	30064.11231	14967.43689	1384784.177	18377.51254	0	53126.14188	0	321857.2275	671414.747	45600.46337	0	0	0	0	0	0	0	0	0	0
LA1278	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9041.071734	0	0	0	0	0	0	0	0	0	98789.9366	36820.81423	0	0	0	0	9849.292982	0	0	26809.41468	0	0
LA1364	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40918.8299	127665.6016	0	54010.42586	0	0	194733.8111	0	60636.0146	0	7834.224874	26332.95219
LA1401	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18533.16907	134300.579	0	35670.42929	0	0	254421.1847	0	96952.51872	0	19515.78997	33134.79557
LA1578	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9494.386425	0	0	0	0	0	0	0	0	0	0	0	0	0	21936.08454	125417.4837	0	68277.54716	0	0	0	274456.1034	17564.57771	0	0	55274.02614
LA1718	R1	12852.22177	27417.03226	25809.98265	47001.22569	0	0	0	0	0	68689.8753	0	0	0	0	1770.778576	0	15447.03039	0	0	0	0	58612.60913	0	0	0	0	0	0	0	0	145085.9979	874927.371	1592091.308	0	0	0	0	23052.70041	0	0	0	0	0
LA1777	R1	0	0	142783.0688	0	809196.5468	477597.1823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3291885.45	0	155255.2004	0	0	0	2188739.426	0	198772.3644	5577615.156	115191.0414	0	546088.9381	0	240436.2596	0	166131.4259	0
LA1840	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40947.0724	160952.3205	0	65444.83435	0	0	174272.4023	0	97435.07899	0	14110.82132	45446.03226
LA1954	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12604.45739	0	8654.740095	0	4821.546409	0	0	0	0	0	0	0	0	0	0	24281.67792	111542.5132	0	51705.21345	0	0	139880.5669	0	0	0	0	0
LA2133	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2241.972003	0	0	0	1726.177229	0	0	0	0	0	0	0	0	0	0	4990.325751	37069.34799	0	15583.77971	0	0	89416.00096	0	0	0	0	0
LA2172	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6079.418554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2448.536073	34107.63028	0	12714.76167	0	0	68716.85521	0	0	0	0	0
LA2695	R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42211.85082	0	0	0	0	0	0	0	0	0	0
LA4024	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508.7495285	0	0	0	0	0	0	0	0	0	0	0	0	0
LYC140	S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1696.396579	0	0	0	0	0	0	0	0	0	0	0	0	0	44707.98263	0	37009.30497	0	0	233248.3858	0	0	0	0	0
LYC38	R1	0	0	0	0	0	0	0	0	98423.11035	188823.5978	0	0	6799.143481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216658.8284	49514.47767	1890838.841	0	0	0	0	0	0	0	0	0	0
LYC4	R1	0	0	0	0	0	0	0	0	0	184.0804449	11250.13982	11808.42985	0	0	0	0	2410793.797	0	0	5611.110531	0	1139627.173	0	0	0	11336.66984	0	11805.44891	0	0	1341640.863	1085378.737	194877.3286	0	201255.0166	74477.82326	0	110581.4056	0	0	0	0	0
PI127826	R1	0	0	97032.77855	0	0	0	0	0	0	20361.64859	0	0	0	0	163393.9161	1680997.279	289916.5227	0	0	0	0	0	0	181802.2319	0	787157.666	0	0	0	0	1891581.46	3457220.377	445530.5521	0	5916.590572	0	0	67134.33661	0	0	0	0	0
