transcript	module	goodGenes
Solyc00g007060.2.1	darkred	TRUE
Solyc00g127670.1.1	darkred	TRUE
Solyc01g005670.2.1	darkred	TRUE
Solyc01g006990.2.1	darkred	TRUE
Solyc01g008770.2.1	darkred	TRUE
Solyc01g009120.2.1	darkred	TRUE
Solyc01g010590.2.1	darkred	TRUE
Solyc01g015020.2.1	darkred	TRUE
Solyc01g044370.1.1	darkred	TRUE
Solyc01g058170.2.1	darkred	TRUE
Solyc01g060100.2.1	darkred	TRUE
Solyc01g065560.2.1	darkred	TRUE
Solyc01g066570.2.1	darkred	TRUE
Solyc01g068180.2.1	darkred	TRUE
Solyc01g079510.2.1	darkred	TRUE
Solyc01g079980.2.1	darkred	TRUE
Solyc01g080180.2.1	darkred	TRUE
Solyc01g080530.2.1	darkred	TRUE
Solyc01g081450.2.1	darkred	TRUE
Solyc01g081520.2.1	darkred	TRUE
Solyc01g086980.2.1	darkred	TRUE
Solyc01g088550.2.1	darkred	TRUE
Solyc01g088650.2.1	darkred	TRUE
Solyc01g090190.2.1	darkred	TRUE
Solyc01g090750.2.1	darkred	TRUE
Solyc01g090920.2.1	darkred	TRUE
Solyc01g091090.2.1	darkred	TRUE
Solyc01g094650.2.1	darkred	TRUE
Solyc01g094790.2.1	darkred	TRUE
Solyc01g096250.2.1	darkred	TRUE
Solyc01g096700.2.1	darkred	TRUE
Solyc01g096820.2.1	darkred	TRUE
Solyc01g097300.2.1	darkred	TRUE
Solyc01g098080.2.1	darkred	TRUE
Solyc01g099380.2.1	darkred	TRUE
Solyc01g099440.2.1	darkred	TRUE
Solyc01g100380.2.1	darkred	TRUE
Solyc01g100450.1.1	darkred	TRUE
Solyc01g102760.2.1	darkred	TRUE
Solyc01g103200.2.1	darkred	TRUE
Solyc01g103560.2.1	darkred	TRUE
Solyc01g103890.2.1	darkred	TRUE
Solyc01g104090.2.1	darkred	TRUE
Solyc01g107030.2.1	darkred	TRUE
Solyc01g107070.2.1	darkred	TRUE
Solyc01g107340.2.1	darkred	TRUE
Solyc01g107660.2.1	darkred	TRUE
Solyc01g107890.2.1	darkred	TRUE
Solyc01g111250.2.1	darkred	TRUE
Solyc01g111500.2.1	darkred	TRUE
Solyc01g111530.2.1	darkred	TRUE
Solyc01g111580.2.1	darkred	TRUE
Solyc01g112320.2.1	darkred	TRUE
Solyc01g112350.2.1	darkred	TRUE
Solyc02g022870.2.1	darkred	TRUE
Solyc02g030230.2.1	darkred	TRUE
Solyc02g036290.2.1	darkred	TRUE
Solyc02g044030.1.1	darkred	TRUE
Solyc02g055390.1.1	darkred	TRUE
Solyc02g063350.1.1	darkred	TRUE
Solyc02g065260.2.1	darkred	TRUE
Solyc02g068100.2.1	darkred	TRUE
Solyc02g068150.2.1	darkred	TRUE
Solyc02g068550.1.1	darkred	TRUE
Solyc02g068770.2.1	darkred	TRUE
Solyc02g069160.2.1	darkred	TRUE
Solyc02g069170.1.1	darkred	TRUE
Solyc02g070250.2.1	darkred	TRUE
Solyc02g072160.2.1	darkred	TRUE
Solyc02g077080.2.1	darkred	TRUE
Solyc02g077910.2.1	darkred	TRUE
Solyc02g079100.2.1	darkred	TRUE
Solyc02g079570.2.1	darkred	TRUE
Solyc02g080350.1.1	darkred	TRUE
Solyc02g081360.2.1	darkred	TRUE
Solyc02g082210.2.1	darkred	TRUE
Solyc02g082490.2.1	darkred	TRUE
Solyc02g083690.2.1	darkred	TRUE
Solyc02g084290.1.1	darkred	TRUE
Solyc02g084990.2.1	darkred	TRUE
Solyc02g085220.2.1	darkred	TRUE
Solyc02g085320.1.1	darkred	TRUE
Solyc02g085340.1.1	darkred	TRUE
Solyc02g086380.1.1	darkred	TRUE
Solyc02g086400.1.1	darkred	TRUE
Solyc02g086410.1.1	darkred	TRUE
Solyc02g087290.2.1	darkred	TRUE
Solyc02g089640.2.1	darkred	TRUE
Solyc02g090760.2.1	darkred	TRUE
Solyc02g091120.2.1	darkred	TRUE
Solyc02g091340.2.1	darkred	TRUE
Solyc02g091510.2.1	darkred	TRUE
Solyc03g007290.2.1	darkred	TRUE
Solyc03g007350.1.1	darkred	TRUE
Solyc03g026010.1.1	darkred	TRUE
Solyc03g031790.1.1	darkred	TRUE
Solyc03g033320.2.1	darkred	TRUE
Solyc03g033600.2.1	darkred	TRUE
Solyc03g033980.2.1	darkred	TRUE
Solyc03g044150.2.1	darkred	TRUE
Solyc03g044790.2.1	darkred	TRUE
Solyc03g045090.2.1	darkred	TRUE
Solyc03g051780.1.1	darkred	TRUE
Solyc03g058460.1.1	darkred	TRUE
Solyc03g062930.1.1	darkred	TRUE
Solyc03g063220.1.1	darkred	TRUE
Solyc03g077910.2.1	darkred	TRUE
Solyc03g078150.2.1	darkred	TRUE
Solyc03g080080.2.1	darkred	TRUE
Solyc03g082890.2.1	darkred	TRUE
Solyc03g083280.2.1	darkred	TRUE
Solyc03g094070.2.1	darkred	TRUE
Solyc03g095290.2.1	darkred	TRUE
Solyc03g095300.2.1	darkred	TRUE
Solyc03g096080.2.1	darkred	TRUE
Solyc03g110860.2.1	darkred	TRUE
Solyc03g111450.1.1	darkred	TRUE
Solyc03g114100.1.1	darkred	TRUE
Solyc03g115580.2.1	darkred	TRUE
Solyc03g118490.2.1	darkred	TRUE
Solyc03g118820.2.1	darkred	TRUE
Solyc03g119420.2.1	darkred	TRUE
Solyc03g120310.2.1	darkred	TRUE
Solyc03g120730.2.1	darkred	TRUE
Solyc03g121410.2.1	darkred	TRUE
Solyc03g121490.2.1	darkred	TRUE
Solyc03g121840.2.1	darkred	TRUE
Solyc04g005060.2.1	darkred	TRUE
Solyc04g005780.1.1	darkred	TRUE
Solyc04g007710.2.1	darkred	TRUE
Solyc04g007840.2.1	darkred	TRUE
Solyc04g007870.2.1	darkred	TRUE
Solyc04g008160.1.1	darkred	TRUE
Solyc04g010330.2.1	darkred	TRUE
Solyc04g011610.1.1	darkred	TRUE
Solyc04g015280.2.1	darkred	TRUE
Solyc04g015300.2.1	darkred	TRUE
Solyc04g016520.2.1	darkred	TRUE
Solyc04g017620.2.1	darkred	TRUE
Solyc04g018090.2.1	darkred	TRUE
Solyc04g025160.2.1	darkred	TRUE
Solyc04g039670.2.1	darkred	TRUE
Solyc04g039990.2.1	darkred	TRUE
Solyc04g040230.1.1	darkred	TRUE
Solyc04g049390.2.1	darkred	TRUE
Solyc04g049910.2.1	darkred	TRUE
Solyc04g050760.2.1	darkred	TRUE
Solyc04g051610.2.1	darkred	TRUE
Solyc04g054930.2.1	darkred	TRUE
Solyc04g056290.2.1	darkred	TRUE
Solyc04g056330.1.1	darkred	TRUE
Solyc04g064680.2.1	darkred	TRUE
Solyc04g064710.2.1	darkred	TRUE
Solyc04g072540.2.1	darkred	TRUE
Solyc04g074970.2.1	darkred	TRUE
Solyc04g076050.2.1	darkred	TRUE
Solyc04g076510.2.1	darkred	TRUE
Solyc04g076940.2.1	darkred	TRUE
Solyc04g077660.2.1	darkred	TRUE
Solyc04g078480.2.1	darkred	TRUE
Solyc04g079800.2.1	darkred	TRUE
Solyc04g079810.1.1	darkred	TRUE
Solyc04g080070.1.1	darkred	TRUE
Solyc04g081730.2.1	darkred	TRUE
Solyc04g081820.2.1	darkred	TRUE
Solyc04g082770.2.1	darkred	TRUE
Solyc05g005670.1.1	darkred	TRUE
Solyc05g006820.2.1	darkred	TRUE
Solyc05g007910.2.1	darkred	TRUE
Solyc05g008400.2.1	darkred	TRUE
Solyc05g009210.1.1	darkred	TRUE
Solyc05g009360.2.1	darkred	TRUE
Solyc05g009780.2.1	darkred	TRUE
Solyc05g010070.2.1	darkred	TRUE
Solyc05g010760.1.1	darkred	TRUE
Solyc05g012150.2.1	darkred	TRUE
Solyc05g012590.2.1	darkred	TRUE
Solyc05g015040.2.1	darkred	TRUE
Solyc05g015480.2.1	darkred	TRUE
Solyc05g016720.2.1	darkred	TRUE
Solyc05g018130.2.1	darkred	TRUE
Solyc05g023740.2.1	darkred	TRUE
Solyc05g023820.2.1	darkred	TRUE
Solyc05g024290.2.1	darkred	TRUE
Solyc05g026060.1.1	darkred	TRUE
Solyc05g032660.2.1	darkred	TRUE
Solyc05g050910.2.1	darkred	TRUE
Solyc05g051540.1.1	darkred	TRUE
Solyc05g051920.2.1	darkred	TRUE
Solyc05g052340.2.1	darkred	TRUE
Solyc05g052760.2.1	darkred	TRUE
Solyc05g053090.1.1	darkred	TRUE
Solyc05g054240.2.1	darkred	TRUE
Solyc05g055170.2.1	darkred	TRUE
Solyc05g055480.2.1	darkred	TRUE
Solyc06g005350.2.1	darkred	TRUE
Solyc06g005570.2.1	darkred	TRUE
Solyc06g005750.2.1	darkred	TRUE
Solyc06g007790.1.1	darkred	TRUE
Solyc06g009440.1.1	darkred	TRUE
Solyc06g009860.1.1	darkred	TRUE
Solyc06g043140.2.1	darkred	TRUE
Solyc06g048570.2.1	darkred	TRUE
Solyc06g051020.2.1	darkred	TRUE
Solyc06g051380.1.1	darkred	TRUE
Solyc06g051650.2.1	darkred	TRUE
Solyc06g051980.2.1	darkred	TRUE
Solyc06g052010.1.1	darkred	TRUE
Solyc06g054070.2.1	darkred	TRUE
Solyc06g061240.2.1	darkred	TRUE
Solyc06g064600.1.1	darkred	TRUE
Solyc06g066770.1.1	darkred	TRUE
Solyc06g066780.2.1	darkred	TRUE
Solyc06g068080.2.1	darkred	TRUE
Solyc06g068940.2.1	darkred	TRUE
Solyc06g071110.2.1	darkred	TRUE
Solyc06g071380.2.1	darkred	TRUE
Solyc06g071510.2.1	darkred	TRUE
Solyc06g072890.1.1	darkred	TRUE
Solyc06g073130.2.1	darkred	TRUE
Solyc06g074640.1.1	darkred	TRUE
Solyc06g074980.2.1	darkred	TRUE
Solyc06g081980.1.1	darkred	TRUE
Solyc06g082640.2.1	darkred	TRUE
Solyc06g082840.2.1	darkred	TRUE
Solyc06g083960.1.1	darkred	TRUE
Solyc06g084500.2.1	darkred	TRUE
Solyc07g005570.2.1	darkred	TRUE
Solyc07g005690.2.1	darkred	TRUE
Solyc07g005890.2.1	darkred	TRUE
Solyc07g006330.1.1	darkred	TRUE
Solyc07g007930.2.1	darkred	TRUE
Solyc07g008090.2.1	darkred	TRUE
Solyc07g009150.2.1	darkred	TRUE
Solyc07g015870.2.1	darkred	TRUE
Solyc07g017980.1.1	darkred	TRUE
Solyc07g026670.2.1	darkred	TRUE
Solyc07g026810.2.1	darkred	TRUE
Solyc07g026950.2.1	darkred	TRUE
Solyc07g026960.2.1	darkred	TRUE
Solyc07g032510.2.1	darkred	TRUE
Solyc07g038100.2.1	darkred	TRUE
Solyc07g040720.2.1	darkred	TRUE
Solyc07g040920.2.1	darkred	TRUE
Solyc07g041730.2.1	darkred	TRUE
Solyc07g041930.2.1	darkred	TRUE
Solyc07g042700.2.1	darkred	TRUE
Solyc07g049270.2.1	darkred	TRUE
Solyc07g049300.2.1	darkred	TRUE
Solyc07g053160.2.1	darkred	TRUE
Solyc07g055420.1.1	darkred	TRUE
Solyc07g063040.2.1	darkred	TRUE
Solyc07g063390.2.1	darkred	TRUE
Solyc07g064760.1.1	darkred	TRUE
Solyc07g064850.2.1	darkred	TRUE
Solyc07g065330.2.1	darkred	TRUE
Solyc07g066180.2.1	darkred	TRUE
Solyc07g066630.2.1	darkred	TRUE
Solyc08g005650.2.1	darkred	TRUE
Solyc08g007000.2.1	darkred	TRUE
Solyc08g008040.2.1	darkred	TRUE
Solyc08g013840.2.1	darkred	TRUE
Solyc08g016200.2.1	darkred	TRUE
Solyc08g029120.1.1	darkred	TRUE
Solyc08g029130.2.1	darkred	TRUE
Solyc08g029230.2.1	darkred	TRUE
Solyc08g066700.2.1	darkred	TRUE
Solyc08g067240.2.1	darkred	TRUE
