transcript	module	goodGenes
Solyc00g013120.2.1	royalblue	TRUE
Solyc00g013150.1.1	royalblue	TRUE
Solyc00g013170.1.1	royalblue	TRUE
Solyc00g013180.1.1	royalblue	TRUE
Solyc00g014830.2.1	royalblue	TRUE
Solyc00g014840.1.1	royalblue	TRUE
Solyc00g014850.1.1	royalblue	TRUE
Solyc00g019730.1.1	royalblue	TRUE
Solyc00g019740.1.1	royalblue	TRUE
Solyc00g019750.1.1	royalblue	TRUE
Solyc00g019950.1.1	royalblue	TRUE
Solyc00g019960.1.1	royalblue	TRUE
Solyc00g019970.2.1	royalblue	TRUE
Solyc00g019990.1.1	royalblue	TRUE
Solyc00g020020.2.1	royalblue	TRUE
Solyc00g020040.1.1	royalblue	TRUE
Solyc00g021630.1.1	royalblue	TRUE
Solyc00g021640.2.1	royalblue	TRUE
Solyc00g022100.1.1	royalblue	TRUE
Solyc00g022110.2.1	royalblue	TRUE
Solyc00g025290.1.1	royalblue	TRUE
Solyc00g027770.2.1	royalblue	TRUE
Solyc00g030100.1.1	royalblue	TRUE
Solyc00g049210.1.1	royalblue	TRUE
Solyc00g049520.2.1	royalblue	TRUE
Solyc00g052430.2.1	royalblue	TRUE
Solyc00g072800.2.1	royalblue	TRUE
Solyc00g094520.1.1	royalblue	TRUE
Solyc00g094530.1.1	royalblue	TRUE
Solyc00g094540.1.1	royalblue	TRUE
Solyc00g118680.2.1	royalblue	TRUE
Solyc00g125980.1.1	royalblue	TRUE
Solyc00g125990.1.1	royalblue	TRUE
Solyc00g126000.1.1	royalblue	TRUE
Solyc00g126010.1.1	royalblue	TRUE
Solyc00g142170.2.1	royalblue	TRUE
Solyc00g171810.2.1	royalblue	TRUE
Solyc00g230080.1.1	royalblue	TRUE
Solyc00g244290.1.1	royalblue	TRUE
Solyc00g244300.1.1	royalblue	TRUE
Solyc00g316530.1.1	royalblue	TRUE
Solyc00g320430.1.1	royalblue	TRUE
Solyc01g005280.2.1	royalblue	TRUE
Solyc01g005370.2.1	royalblue	TRUE
Solyc01g007380.1.1	royalblue	TRUE
Solyc01g007430.2.1	royalblue	TRUE
Solyc01g008670.2.1	royalblue	TRUE
Solyc01g057310.2.1	royalblue	TRUE
Solyc01g057320.1.1	royalblue	TRUE
Solyc01g058270.2.1	royalblue	TRUE
Solyc01g058410.1.1	royalblue	TRUE
Solyc01g058720.2.1	royalblue	TRUE
Solyc01g065840.2.1	royalblue	TRUE
Solyc01g068170.2.1	royalblue	TRUE
Solyc01g068520.1.1	royalblue	TRUE
Solyc01g087480.1.1	royalblue	TRUE
Solyc01g090120.2.1	royalblue	TRUE
Solyc01g090890.2.1	royalblue	TRUE
Solyc01g091300.2.1	royalblue	TRUE
Solyc01g094600.2.1	royalblue	TRUE
Solyc01g095290.2.1	royalblue	TRUE
Solyc01g095610.2.1	royalblue	TRUE
Solyc01g097320.2.1	royalblue	TRUE
Solyc01g098090.2.1	royalblue	TRUE
Solyc01g103310.2.1	royalblue	TRUE
Solyc01g103980.2.1	royalblue	TRUE
Solyc01g104290.1.1	royalblue	TRUE
Solyc01g106410.1.1	royalblue	TRUE
Solyc01g107580.2.1	royalblue	TRUE
Solyc01g107930.2.1	royalblue	TRUE
Solyc01g109300.2.1	royalblue	TRUE
Solyc02g014220.2.1	royalblue	TRUE
Solyc02g020910.2.1	royalblue	TRUE
Solyc02g062990.1.1	royalblue	TRUE
Solyc02g063000.2.1	royalblue	TRUE
Solyc02g065160.1.1	royalblue	TRUE
Solyc02g065280.2.1	royalblue	TRUE
Solyc02g066810.1.1	royalblue	TRUE
Solyc02g066820.1.1	royalblue	TRUE
Solyc02g067900.2.1	royalblue	TRUE
Solyc02g068350.1.1	royalblue	TRUE
Solyc02g068720.2.1	royalblue	TRUE
Solyc02g068800.1.1	royalblue	TRUE
Solyc02g069930.1.1	royalblue	TRUE
Solyc02g070880.1.1	royalblue	TRUE
Solyc02g071430.2.1	royalblue	TRUE
Solyc02g071590.1.1	royalblue	TRUE
Solyc02g074590.2.1	royalblue	TRUE
Solyc02g076910.2.1	royalblue	TRUE
Solyc02g079140.1.1	royalblue	TRUE
Solyc02g079530.2.1	royalblue	TRUE
Solyc02g079740.1.1	royalblue	TRUE
Solyc02g080100.1.1	royalblue	TRUE
Solyc02g081690.1.1	royalblue	TRUE
Solyc02g081740.1.1	royalblue	TRUE
Solyc02g081750.1.1	royalblue	TRUE
Solyc02g081760.1.1	royalblue	TRUE
Solyc02g082010.1.1	royalblue	TRUE
Solyc02g082160.1.1	royalblue	TRUE
Solyc02g082240.1.1	royalblue	TRUE
Solyc02g082380.1.1	royalblue	TRUE
Solyc02g083200.2.1	royalblue	TRUE
Solyc02g084300.1.1	royalblue	TRUE
Solyc02g086530.2.1	royalblue	TRUE
Solyc02g086610.2.1	royalblue	TRUE
Solyc02g088410.1.1	royalblue	TRUE
Solyc02g090850.2.1	royalblue	TRUE
Solyc02g091410.2.1	royalblue	TRUE
Solyc02g091450.2.1	royalblue	TRUE
Solyc02g091460.2.1	royalblue	TRUE
Solyc02g091520.2.1	royalblue	TRUE
Solyc02g092870.1.1	royalblue	TRUE
Solyc03g005660.2.1	royalblue	TRUE
Solyc03g019810.2.1	royalblue	TRUE
Solyc03g019910.2.1	royalblue	TRUE
Solyc03g026180.1.1	royalblue	TRUE
Solyc03g026290.2.1	royalblue	TRUE
Solyc03g032000.2.1	royalblue	TRUE
Solyc03g033440.1.1	royalblue	TRUE
Solyc03g043610.1.1	royalblue	TRUE
Solyc03g043620.1.1	royalblue	TRUE
Solyc03g044200.2.1	royalblue	TRUE
Solyc03g045010.1.1	royalblue	TRUE
Solyc03g045020.2.1	royalblue	TRUE
Solyc03g051590.1.1	royalblue	TRUE
Solyc03g053080.1.1	royalblue	TRUE
Solyc03g053100.2.1	royalblue	TRUE
Solyc03g058300.1.1	royalblue	TRUE
Solyc03g063480.2.1	royalblue	TRUE
Solyc03g063510.1.1	royalblue	TRUE
Solyc03g063790.1.1	royalblue	TRUE
Solyc03g080120.1.1	royalblue	TRUE
Solyc03g097400.1.1	royalblue	TRUE
Solyc03g114340.2.1	royalblue	TRUE
Solyc03g114720.2.1	royalblue	TRUE
Solyc03g114800.1.1	royalblue	TRUE
Solyc03g114830.2.1	royalblue	TRUE
Solyc03g115060.2.1	royalblue	TRUE
Solyc03g115640.2.1	royalblue	TRUE
Solyc03g116200.1.1	royalblue	TRUE
Solyc03g118860.2.1	royalblue	TRUE
Solyc03g120830.2.1	royalblue	TRUE
Solyc03g121810.2.1	royalblue	TRUE
Solyc03g122310.2.1	royalblue	TRUE
Solyc03g123600.2.1	royalblue	TRUE
Solyc04g007010.2.1	royalblue	TRUE
Solyc04g007450.2.1	royalblue	TRUE
Solyc04g008790.1.1	royalblue	TRUE
Solyc04g008860.2.1	royalblue	TRUE
Solyc04g009130.2.1	royalblue	TRUE
Solyc04g009250.1.1	royalblue	TRUE
Solyc04g012080.1.1	royalblue	TRUE
Solyc04g014930.1.1	royalblue	TRUE
Solyc04g014940.1.1	royalblue	TRUE
Solyc04g014950.2.1	royalblue	TRUE
Solyc04g014960.2.1	royalblue	TRUE
Solyc04g016180.2.1	royalblue	TRUE
Solyc04g049240.1.1	royalblue	TRUE
Solyc04g051390.2.1	royalblue	TRUE
Solyc04g054700.2.1	royalblue	TRUE
Solyc04g056410.2.1	royalblue	TRUE
Solyc04g064660.1.1	royalblue	TRUE
Solyc04g076360.2.1	royalblue	TRUE
Solyc04g076700.2.1	royalblue	TRUE
Solyc04g077640.2.1	royalblue	TRUE
Solyc04g078750.2.1	royalblue	TRUE
Solyc04g078990.2.1	royalblue	TRUE
Solyc04g079440.2.1	royalblue	TRUE
Solyc04g079570.1.1	royalblue	TRUE
Solyc04g080790.2.1	royalblue	TRUE
Solyc04g080970.2.1	royalblue	TRUE
Solyc04g081420.2.1	royalblue	TRUE
Solyc04g081610.1.1	royalblue	TRUE
Solyc04g081650.2.1	royalblue	TRUE
Solyc05g005020.2.1	royalblue	TRUE
Solyc05g006460.1.1	royalblue	TRUE
Solyc05g007630.2.1	royalblue	TRUE
Solyc05g007720.1.1	royalblue	TRUE
Solyc05g009730.1.1	royalblue	TRUE
Solyc05g010430.2.1	royalblue	TRUE
Solyc05g012280.2.1	royalblue	TRUE
Solyc05g012430.1.1	royalblue	TRUE
Solyc05g013200.1.1	royalblue	TRUE
Solyc05g014310.2.1	royalblue	TRUE
Solyc05g016230.2.1	royalblue	TRUE
Solyc05g018250.2.1	royalblue	TRUE
Solyc05g018390.2.1	royalblue	TRUE
Solyc05g023690.1.1	royalblue	TRUE
Solyc05g026600.2.1	royalblue	TRUE
Solyc05g032850.2.1	royalblue	TRUE
Solyc05g045730.1.1	royalblue	TRUE
Solyc05g045740.1.1	royalblue	TRUE
Solyc05g046240.1.1	royalblue	TRUE
Solyc05g051250.2.1	royalblue	TRUE
Solyc05g051630.2.1	royalblue	TRUE
Solyc05g052180.2.1	royalblue	TRUE
Solyc05g052260.2.1	royalblue	TRUE
Solyc05g052840.1.1	royalblue	TRUE
Solyc05g056350.2.1	royalblue	TRUE
Solyc06g005220.2.1	royalblue	TRUE
Solyc06g005590.2.1	royalblue	TRUE
Solyc06g005790.2.1	royalblue	TRUE
Solyc06g011490.2.1	royalblue	TRUE
Solyc06g050170.2.1	royalblue	TRUE
Solyc06g050720.2.1	royalblue	TRUE
Solyc06g051370.1.1	royalblue	TRUE
Solyc06g053240.2.1	royalblue	TRUE
Solyc06g054670.1.1	royalblue	TRUE
Solyc06g059690.2.1	royalblue	TRUE
Solyc06g059700.2.1	royalblue	TRUE
Solyc06g059750.2.1	royalblue	TRUE
Solyc06g059920.1.1	royalblue	TRUE
Solyc06g060270.2.1	royalblue	TRUE
Solyc06g060280.2.1	royalblue	TRUE
Solyc06g060370.2.1	royalblue	TRUE
Solyc06g066240.2.1	royalblue	TRUE
Solyc06g066290.2.1	royalblue	TRUE
Solyc06g066300.1.1	royalblue	TRUE
Solyc06g074560.1.1	royalblue	TRUE
Solyc06g074570.1.1	royalblue	TRUE
Solyc06g074590.1.1	royalblue	TRUE
Solyc06g074710.1.1	royalblue	TRUE
Solyc06g075110.2.1	royalblue	TRUE
Solyc06g076670.2.1	royalblue	TRUE
Solyc06g082260.2.1	royalblue	TRUE
Solyc06g084070.2.1	royalblue	TRUE
Solyc06g084250.2.1	royalblue	TRUE
Solyc07g005650.2.1	royalblue	TRUE
Solyc07g006350.2.1	royalblue	TRUE
Solyc07g008060.1.1	royalblue	TRUE
Solyc07g008360.1.1	royalblue	TRUE
Solyc07g017290.2.1	royalblue	TRUE
Solyc07g017930.1.1	royalblue	TRUE
Solyc07g018140.2.1	royalblue	TRUE
Solyc07g019510.2.1	royalblue	TRUE
Solyc07g019520.1.1	royalblue	TRUE
Solyc07g025240.1.1	royalblue	TRUE
Solyc07g032120.1.1	royalblue	TRUE
Solyc07g040970.1.1	royalblue	TRUE
Solyc07g042160.2.1	royalblue	TRUE
Solyc07g042460.1.1	royalblue	TRUE
Solyc07g048100.1.1	royalblue	TRUE
Solyc07g049460.2.1	royalblue	TRUE
Solyc07g053450.2.1	royalblue	TRUE
Solyc07g053940.1.1	royalblue	TRUE
Solyc07g054430.2.1	royalblue	TRUE
Solyc07g054930.2.1	royalblue	TRUE
Solyc07g055190.2.1	royalblue	TRUE
Solyc07g062510.2.1	royalblue	TRUE
Solyc07g063070.1.1	royalblue	TRUE
Solyc07g063200.1.1	royalblue	TRUE
Solyc07g064290.2.1	royalblue	TRUE
Solyc07g064450.2.1	royalblue	TRUE
Solyc07g064870.2.1	royalblue	TRUE
Solyc07g064910.2.1	royalblue	TRUE
Solyc08g005660.1.1	royalblue	TRUE
Solyc08g005680.2.1	royalblue	TRUE
Solyc08g005700.1.1	royalblue	TRUE
Solyc08g005790.2.1	royalblue	TRUE
Solyc08g007520.2.1	royalblue	TRUE
Solyc08g021810.1.1	royalblue	TRUE
Solyc08g036510.1.1	royalblue	TRUE
Solyc08g036520.2.1	royalblue	TRUE
Solyc08g045710.1.1	royalblue	TRUE
Solyc08g045870.2.1	royalblue	TRUE
Solyc08g045880.1.1	royalblue	TRUE
Solyc08g061380.1.1	royalblue	TRUE
Solyc08g061880.1.1	royalblue	TRUE
Solyc08g062770.2.1	royalblue	TRUE
Solyc08g065560.1.1	royalblue	TRUE
Solyc08g065620.1.1	royalblue	TRUE
Solyc08g069180.2.1	royalblue	TRUE
Solyc08g075500.2.1	royalblue	TRUE
Solyc08g075960.2.1	royalblue	TRUE
Solyc08g076710.2.1	royalblue	TRUE
Solyc08g077430.2.1	royalblue	TRUE
Solyc08g077720.2.1	royalblue	TRUE
Solyc08g078420.1.1	royalblue	TRUE
Solyc08g079300.2.1	royalblue	TRUE
Solyc08g079540.2.1	royalblue	TRUE
Solyc08g079710.2.1	royalblue	TRUE
Solyc08g081270.2.1	royalblue	TRUE
Solyc09g007070.1.1	royalblue	TRUE
Solyc09g007190.2.1	royalblue	TRUE
Solyc09g007340.2.1	royalblue	TRUE
Solyc09g010470.2.1	royalblue	TRUE
