transcript	module	goodGenes
PHS1	turquoise	TRUE
Solyc00g006820.2.1	lightgreen	TRUE
Solyc00g006830.2.1	turquoise	TRUE
Solyc00g007060.2.1	darkred	TRUE
Solyc00g007120.2.1	turquoise	TRUE
Solyc00g007220.2.1	turquoise	TRUE
Solyc00g007260.2.1	magenta	TRUE
Solyc00g007270.2.1	turquoise	TRUE
Solyc00g009040.2.1	turquoise	TRUE
Solyc00g009060.2.1	greenyellow	TRUE
Solyc00g009100.2.1	turquoise	TRUE
Solyc00g009120.2.1	turquoise	TRUE
Solyc00g009130.2.1	turquoise	TRUE
Solyc00g009140.2.1	turquoise	TRUE
Solyc00g011870.1.1	magenta	TRUE
Solyc00g011890.2.1	turquoise	TRUE
Solyc00g013120.2.1	royalblue	TRUE
Solyc00g013150.1.1	royalblue	TRUE
Solyc00g013170.1.1	royalblue	TRUE
Solyc00g013180.1.1	royalblue	TRUE
Solyc00g014830.2.1	royalblue	TRUE
Solyc00g014840.1.1	royalblue	TRUE
Solyc00g014850.1.1	royalblue	TRUE
Solyc00g019730.1.1	royalblue	TRUE
Solyc00g019740.1.1	royalblue	TRUE
Solyc00g019750.1.1	royalblue	TRUE
Solyc00g019950.1.1	royalblue	TRUE
Solyc00g019960.1.1	royalblue	TRUE
Solyc00g019970.2.1	royalblue	TRUE
Solyc00g019990.1.1	royalblue	TRUE
Solyc00g020020.2.1	royalblue	TRUE
Solyc00g020040.1.1	royalblue	TRUE
Solyc00g021630.1.1	royalblue	TRUE
Solyc00g021640.2.1	royalblue	TRUE
Solyc00g022100.1.1	royalblue	TRUE
Solyc00g022110.2.1	royalblue	TRUE
Solyc00g025290.1.1	royalblue	TRUE
Solyc00g026160.2.1	turquoise	TRUE
Solyc00g027770.2.1	royalblue	TRUE
Solyc00g029190.2.1	turquoise	TRUE
Solyc00g030100.1.1	royalblue	TRUE
Solyc00g049210.1.1	royalblue	TRUE
Solyc00g049520.2.1	royalblue	TRUE
Solyc00g050130.1.1	magenta	TRUE
Solyc00g050430.2.1	turquoise	TRUE
Solyc00g052430.2.1	royalblue	TRUE
Solyc00g053440.2.1	greenyellow	TRUE
Solyc00g072800.2.1	royalblue	TRUE
Solyc00g080750.2.1	magenta	TRUE
Solyc00g082550.1.1	turquoise	TRUE
Solyc00g085070.2.1	turquoise	TRUE
Solyc00g094520.1.1	royalblue	TRUE
Solyc00g094530.1.1	royalblue	TRUE
Solyc00g094540.1.1	royalblue	TRUE
Solyc00g095760.1.1	turquoise	TRUE
Solyc00g099580.1.1	greenyellow	TRUE
Solyc00g110870.2.1	lightgreen	TRUE
Solyc00g112190.2.1	magenta	TRUE
Solyc00g117450.2.1	greenyellow	TRUE
Solyc00g118680.2.1	royalblue	TRUE
Solyc00g125980.1.1	royalblue	TRUE
Solyc00g125990.1.1	royalblue	TRUE
Solyc00g126000.1.1	royalblue	TRUE
Solyc00g126010.1.1	royalblue	TRUE
Solyc00g127670.1.1	darkred	TRUE
Solyc00g136560.2.1	turquoise	TRUE
Solyc00g140060.2.1	turquoise	TRUE
Solyc00g142170.2.1	royalblue	TRUE
Solyc00g156980.2.1	turquoise	TRUE
Solyc00g160780.2.1	turquoise	TRUE
Solyc00g171810.2.1	royalblue	TRUE
Solyc00g179240.1.1	turquoise	TRUE
Solyc00g183050.1.1	turquoise	TRUE
Solyc00g186050.1.1	greenyellow	TRUE
Solyc00g195360.1.1	turquoise	TRUE
Solyc00g209460.1.1	turquoise	TRUE
Solyc00g217960.1.1	greenyellow	TRUE
Solyc00g230080.1.1	royalblue	TRUE
Solyc00g244290.1.1	royalblue	TRUE
Solyc00g244300.1.1	royalblue	TRUE
Solyc00g265110.2.1	greenyellow	TRUE
Solyc00g272810.1.1	turquoise	TRUE
Solyc00g282510.1.1	turquoise	TRUE
Solyc00g316530.1.1	royalblue	TRUE
Solyc00g320430.1.1	royalblue	TRUE
Solyc00g323130.2.1	turquoise	TRUE
Solyc01g005030.2.1	turquoise	TRUE
Solyc01g005130.2.1	turquoise	TRUE
Solyc01g005250.2.1	turquoise	TRUE
Solyc01g005270.2.1	turquoise	TRUE
Solyc01g005280.2.1	royalblue	TRUE
Solyc01g005290.2.1	turquoise	TRUE
Solyc01g005350.2.1	turquoise	TRUE
Solyc01g005360.2.1	turquoise	TRUE
Solyc01g005370.2.1	royalblue	TRUE
Solyc01g005380.2.1	turquoise	TRUE
Solyc01g005440.2.1	greenyellow	TRUE
Solyc01g005450.2.1	turquoise	TRUE
Solyc01g005480.2.1	turquoise	TRUE
Solyc01g005540.2.1	turquoise	TRUE
Solyc01g005570.2.1	greenyellow	TRUE
Solyc01g005620.2.1	magenta	TRUE
Solyc01g005670.2.1	darkred	TRUE
Solyc01g005760.2.1	turquoise	TRUE
Solyc01g005900.2.1	turquoise	TRUE
Solyc01g005910.2.1	turquoise	TRUE
Solyc01g005970.2.1	turquoise	TRUE
Solyc01g005990.2.1	turquoise	TRUE
Solyc01g006000.2.1	turquoise	TRUE
Solyc01g006050.2.1	turquoise	TRUE
Solyc01g006120.2.1	turquoise	TRUE
Solyc01g006130.2.1	greenyellow	TRUE
Solyc01g006140.2.1	turquoise	TRUE
Solyc01g006180.2.1	turquoise	TRUE
Solyc01g006290.2.1	magenta	TRUE
Solyc01g006360.2.1	turquoise	TRUE
Solyc01g006430.2.1	turquoise	TRUE
Solyc01g006490.2.1	magenta	TRUE
Solyc01g006500.2.1	turquoise	TRUE
Solyc01g006540.2.1	turquoise	TRUE
Solyc01g006630.2.1	turquoise	TRUE
Solyc01g006670.2.1	turquoise	TRUE
Solyc01g006700.2.1	turquoise	TRUE
Solyc01g006710.2.1	greenyellow	TRUE
Solyc01g006780.2.1	magenta	TRUE
Solyc01g006850.1.1	lightgreen	TRUE
Solyc01g006920.2.1	lightgreen	TRUE
Solyc01g006940.2.1	turquoise	TRUE
Solyc01g006990.2.1	darkred	TRUE
Solyc01g007010.2.1	turquoise	TRUE
Solyc01g007110.2.1	magenta	TRUE
Solyc01g007150.2.1	greenyellow	TRUE
Solyc01g007160.2.1	turquoise	TRUE
Solyc01g007180.2.1	turquoise	TRUE
Solyc01g007220.2.1	turquoise	TRUE
Solyc01g007280.2.1	turquoise	TRUE
Solyc01g007380.1.1	royalblue	TRUE
Solyc01g007430.2.1	royalblue	TRUE
Solyc01g007480.1.1	turquoise	TRUE
Solyc01g007580.2.1	turquoise	TRUE
Solyc01g007720.2.1	turquoise	TRUE
